ID,Title,Journal,DOI,included,data_state,primary_available,primary_how,secondary_available,secondary_source,secondary_how,can_access_data,analysis_state,analysis_tool,analysis_available,analysis_how,can_access_analysis
11,"The impact of incineration phase-out on municipal solid waste landfilling and life cycle environmental performance: Case study of Madrid, Spain",Science of the Total Environment,10.1016/j.scitotenv.2020.142537,"Yes, process-based environmental LCA on a defined functional unit",ms and SI,"Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.6; various sources,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ","The model was built in MATLAB, instead of state-of-the-art LCA software, in order to be able to implement all the biological/physico-chemical relationships as well as the capacity restrictions.",MATLAB,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
12,Carbon footprint of oil products pipeline transportation,Science of the Total Environment,10.1016/j.scitotenv.2021.146906,"Yes, process-based environmental LCA on a defined functional unit","Relevant parameters involved in the calculation process such as pipe length, diameter and elevation are listed in Table 2. Table 3 shows density and viscosity information of gasoline and diesel with different product numbers. …  Table A.4. Regional grid emission factor in China (tCO2/MWh).","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,various sources,"Direct presentation in the article (e.g., tables)",NA,N/A,N/A,"No, no analysis script availability statement. ",NA,NA
13,LCA and scenario analysis of a Norwegian net-zero GHG emission neighbourhood: The importance of mobility and surplus energy from PV technologies,Building and Environment,10.1016/j.buildenv.2020.107528,"Yes, process-based environmental LCA on a defined functional unit",See Table S9 in the supplementary material for the life-cycle inventory. ,"Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.2; EPD,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",The embodied emissions from the non-residential buildings have been collected from Environmental Product Declarations (EPDs) and further calculated with the LCA tool One Click LCA [42].,One Click LCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
14,Environmental impact of peanut skin-reinforced native starch foams modified by acetylation,Environmental Quality Management,10.1002/tqem.21754,"Yes, process-based environmental LCA on a defined functional unit","2.2 LCA: inventory analysis … EXHIBIT 2. Kilograms of crop required to yield 1 kg of starch   Andean potato and corn were modeled as part of the Ecoinvent data sets “Potato starch {RoW} | production” and “Maize starch {RoW} | production,”   … Transport by land and sea was modeled using the data sets “Transport, freight, lorry 7.5-16 metric ton, euro4 {RoW}| market for transport, freight, lorry 7.5-16 metric ton, EURO4” and “Transport, freight, sea, container ship {GLO}” from the Ecoinvent database.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.6,"Direct presentation in the article (e.g., tables)",NA,The software SimaPro version 9.1.0.11 was used to conduct the LCA.,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
15,Resilience and life cycle assessment of ion exchange process for ammonium removal from municipal wastewater,Science of the Total Environment,10.1016/j.scitotenv.2021.146834,"Yes, process-based environmental LCA on a defined functional unit","The data for the reference scenario (influent and effluent characterization, return load concentration, energy and chemical demand and emissions) were assumed ...  Background processes were modelled with datasets from Ecoinvent database v3.4 (Ecoinvent, 2017). ","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.4,A personal or institutional webpage     ,"Yes, can access, download, and open the file. ","The LCA was conducted by using the software Umberto LCA+, following an attributional approach.",Umberto,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
16,Environmental benefits of soy-based bio-adhesives as an alternative to formaldehyde-based options,Environmental Science and Pollution Research,10.1007/s11356-021-12766-4,"Yes, process-based environmental LCA on a defined functional unit","Concerning the soybean meal, Ecoinvent® database has been used for the inventory data.  The inventory data associated with the production of soy flour has been taken from Ecoinvent® database v3.5.  Primary data source   Ecoinvent® database 3.2 has been used for the inventory data of the background operations taking part on the formulation of synthetic PF- and UF-based resins and the production of energy and chemicals required for the formulation of bio-adhesives. In the case of MUF resin, data from Silva et al. (2015) have been selected for the evaluation.","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – only mentioning the sources of secondary database,Ecoinvent v3.5,NA,"Yes, can access, download, and open the file. ",N/A,N/A,"No, no analysis script availability statement. ",NA,NA
17,Environmental impacts of animal-based food supply chains with market characteristics,Science of the Total Environment,10.1016/j.scitotenv.2021.147077,"Yes, process-based environmental LCA on a defined functional unit","The life cycle inventory for farm production (SI Table S4) and food processing (SI Table S5) were collated from national reports, industry data and by using surveys. The detail of data source and quality for each stage of ABFSC was shown in SI Table S3. The background LCA data for farm production and processing was derived from Agri-footprint and Eco-invent databases. The inventories of food distribution networks consist of road, sea and air transport. The emissions per unit product transportation were from the Eco-invent database...  In this study, the GHG intensity of BSF protein meal (1 kg of insect protein meal) was calculated from Salomone et al. (2017) (Table 1). ","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – only mentioning the sources of secondary database,Ecoinvent; Agri-footprint,NA,NA,N/A,N/A,"No, no analysis script availability statement. ",NA,NA
18,Influence of the source of starch and plasticizers on the environmental burden of starch-Brazil nut fiber biocomposite production: A life cycle assessment approach,Science of the Total Environment,10.1016/j.scitotenv.2020.144869,"Yes, process-based environmental LCA on a defined functional unit",2.3. LCA: inventory analysis   The information used to conduct this study was taken from three sources. Datasets from Ecoinvent 3.6 were mainly consulted.  … Table 3. Inventory data to produce 5.04 kg of sweet potato. Adapted from Costa et al. (2018).,"Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent v3.6,NA,NA,SimaPro® software version 9.1.0.11 was used to perform the impact assessment.,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
19,Olive pomace versus natural gas for methanol production: a life cycle assessment,Environmental Science and Pollution Research,10.1007/s11356-021-12710-6,"Yes, process-based environmental LCA on a defined functional unit","Life cycle inventory analysis   The inventory data, such as the direct inputs and outputs of each stage considered in the boundary system, were collected from a real olive mill plant, the Aspen Plus® software, and the Ecoinvent database (Ecoinvent 2017). ","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent v3.4,NA,NA, life cycle assessment was performed using the software SimaPro v9 ,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
20,Investigating the environmental impacts and engineering performance of road asphalt pavement mixtures made up of jet grouting waste and reclaimed asphalt pavement,Environmental Research,10.1016/j.envres.2021.111277,"Yes, process-based environmental LCA on a defined functional unit","In this study, the primary data include: i) .... The secondary data, such as the impact of production and supply of energy, the construction of production facilities and machinery used for transport, moving materials, the construction and milling operations, and respective fuel consumption, were selected from the Ecoinvent 3 database (Wernet et al., 2016), ... Other sources of secondary data, not included in the Ecoinvent database, are the European Bitumen Association (Blomberg et al., 2011) for the “cradle to gate” life cycle inventory of the bituminous binders under examination, and the US Environmental Protection Agency (US EPA 2004) for atmospheric emissions produced during the production of hot asphalt mixtures.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent v3; and various sources,NA,NA,"In this study, the LCA was modelled using SimaPro 9® software.",SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
21,Life cycle assessment of a long-term multifunctional winter wheat-summer maize rotation system on the North China Plain under sustainable P management,Science of the Total Environment,10.1016/j.scitotenv.2021.147039,"Yes, process-based environmental LCA on a defined functional unit","The average inputs of fertilizers, pesticides, diesel, irrigation water, and electricity and outputs of GY per hectare of winter wheat and summer maize are shown in Table 1.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",No – there is no data availability statement,N/A,NA,NA,N/A,N/A,"No, no analysis script availability statement. ",NA,NA
22,Life cycle environmental impacts of chemical recycling via pyrolysis of mixed plastic waste in comparison with mechanical recycling and energy recovery,Science of the Total Environment,10.1016/j.scitotenv.2020.144483,"Yes, process-based environmental LCA on a defined functional unit","2.2. Inventory data … Table 2. Inventory data for the pyrolysis process. … Table 6. Transport distances … 2.2.8. Background processes   The environmental impacts of the German grid electricity and fuel mix for heat generation have been estimated using assumed electricity and heat mixes in Germany in 2030; these assumptions can be found in Tables S3 and S4 in the SI. German datasets for fuels, electricity and heat from the GaBi database (Sphera, 2019) have been used to model the electricity and heat mixes. Data for all other upstream and downstream raw materials and processes as well as transport have also been sourced from GaBi.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ","Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Gabi,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",The LCA modelling has been carried out using GaBi V9 software,Gabi,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
23,"Environmental impact of Oaxaca cheese production and wastewater from artisanal dairies under two scenarios in Aculco, State of Mexico",Journal of Cleaner Production,10.1016/j.jclepro.2021.127586,"Yes, process-based environmental LCA on a defined functional unit","The data for the inventories were obtained through direct observation and eighteen interviews using a semi-structured questionnaire with the cheese-making personnel and owners of the dairies. In addition, the information was corroborated with a veterinary doctor specialized in cheese. Additional information was obtained from secondary sources to create the inventory shown in Table 3.  ...  There is only one Mexican database (MX) of electrical energy (Santoyo-Castelazo et al., 2011). The remaining inputs were populated from the generic data available in databases, selecting the Rest of the World (RoW) function and the Global (GLO) dataset (PRé, 2016). ...  The software SimaPro® v.8.5.0.0 (PRé Sustainability, Amersfoort, Netherlands) was used to calculate the environmental impacts. Inputs such as raw milk, detergent ingredients to clean and desinfect (biodegradable soap to clean), and wastewater input were obtained from the Ecoinvent v.3 database (Ecoinvent, Zurich, Switzerland).","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ","Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v3,"Direct presentation in the article (e.g., tables)",NA,Refer to data availability statement,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
24,Environmental impacts and greenhouse gas emissions assessment for energy recovery and material recycle of the wastewater treatment plant,Science of the Total Environment,10.1016/j.scitotenv.2021.147135,"Yes, process-based environmental LCA on a defined functional unit","The primary materials categories for Plant 1 are summarized in Table 3 and reported in (Morera et al., 2017). The full detailed list is provided in the supporting documents…  Furthermore, all the inputs and outputs for the data inventories have their equivalent values in the Ecoinvent database version 3.5 (Weidema et al., 2013). Raw materials and energy consumption for the construction and demolition phases of Plant 1 and operation phases of Plant 2 are gathered and taken from Ecoinvent.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ","Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v3.4,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ","The assessment process is conducted using SimaPro 9.1, the most updated version",SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
25,"Life cycle energy–carbon–water footprints of sugar, ethanol and electricity from sugarcane",Bioresource Technology,10.1016/j.biortech.2021.125012,"Yes, process-based environmental LCA on a defined functional unit",,"Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,various sources,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",An excel spreadsheet LCA model has been developed to conduct the LCA,Excel,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
26,Life cycle environmental assessment of electric and internal combustion engine vehicles in China,Journal of Cleaner Production,10.1016/j.jclepro.2020.124899,"Yes, process-based environmental LCA on a defined functional unit","Table 3. Weight of materials and components for the reference vehicles (Li et al., 2013; Qiao et al., 2017; Sullivan et al., 2013). (unit: kg).   Table 4. Emission factor of material productiona (ANL, 2018).  … Table 6. Life cycle emission factors of CO2 and air pollutant for different types of energy (ANL, 2018; GaBi, 2018; Qiao et al., 2017).   ... Table 9. Electricity mix and emission factors of different power source in China (ANL, 2018; CEC, 2019; GaBi, 2018; Yang et al., 2019).","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,GREET; Gabi,"Direct presentation in the article (e.g., tables)",NA,N/A,N/A,"No, no analysis script availability statement. ",NA,NA
27,"Environmental, human health, and ecosystem economic performance of long-term optimizing nitrogen management for wheat production",Journal of Cleaner Production,10.1016/j.jclepro.2021.127620,"Yes, process-based environmental LCA on a defined functional unit","The LCI data concerning the production of mineral fertilizer, pesticide, fuel, and electricity, and the combustion of diesel were obtained from previously published papers (Liang, 2009; Yue, 2013; Wang et al., 2018). … Direct nitrous oxide (N2O) emissions were estimated based on the measured N2O emission factors in this experiment in 2013–2014 (Song et al., 2018). Indirect N2O emission was calculated as 1.00% of the volatilized NH3–N and 0.75% of the leached NO3–N (IPCC, 2006). ...  This study mainly used the LCI databases based on the production of common agricultural materials in China (Liang, 2009), which have been widely used in LCA research (Wang et al., 2014, 2017). ","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – only mentioning the sources of secondary database,various sources,NA,"Yes, can access, download, and open the file. ",N/A,N/A,"No, no analysis script availability statement. ",NA,NA
28,"Comparison of pyrolysis and hydrolysis processes for furfural production from sugar beet pulp: A case study in southern Idaho, USA",Journal of Cleaner Production,10.1016/j.jclepro.2021.127695,"Yes, process-based environmental LCA on a defined functional unit","To accurately evaluate the SBP-based furfural production, data was obtained from multiple studies and reports … ","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,various sources,NA,NA,... using OpenLCA (an open-source LCA software),openLCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
29,Improving sustainability of electrolytic wastewater treatment processes by green powering,Science of the Total Environment,10.1016/j.scitotenv.2020.142230,"Yes, process-based environmental LCA on a defined functional unit","2.3. Inventory   The inventories of the three-laboratory units are shown in Fig. 2.  … CDEO inventory includes a Diacell® (type 101) single-compartment electrolytic flow-cell with a life span of 10?years. Furthermore, the inventories of the CDEO treatments powered by wind or solar energy include a Bornay 600 wind power turbine with a life span of 20?years and a photovoltaic panel with 20 years of life span, respectively. All inventories were simulated using the Econveint 3.3 database","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent v3.3,NA,NA,"In this study, the LCA was carried out using SimaPro 9.0 software.",SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
30,CO2 dual roles in food scraps-derived biochar activation to enhance lead adsorption capacity,Science of the Total Environment,10.1016/j.scitotenv.2021.147218,"Yes, process-based environmental LCA on a defined functional unit",N/A; only mentioning in SI: The pH of Pb solution after biochar addition are shown in Table S1. Characteristics of the food scraps and the derived biochar are presented in Table S2.,Other: note in comment box,NA,No – there is no data availability statement,N/A,NA,"Yes, can access, download, and open the file. ","To calculate the result of LCA, the eFootprint software system developed by Yike Environmental Technology Co., Ltd. was used to establish the model of food scraps fermentation residue disposal life cycle,",efootprint,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
31,Life cycle thinking–based eco-compensation for gold ingot production: a case study in China,Environmental Science and Pollution Research,10.1007/s11356-020-10770-8,"Yes, process-based environmental LCA on a defined functional unit","Table 2 Life cycle inventory (values are presented per functional unit) ... The Chinese process-based LCI database (CPLCID), which covers international reviewed process-based LCI of China, is used for the background data of each material for gold production to evaluate the environmental impacts of gold ingot production. Detailed information on CPLCID is available in the supplemental material of this paper.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ","Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",CLCD,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",N/A,N/A,"No, no analysis script availability statement. ",NA,NA
32,A scalable and spatiotemporally resolved agricultural life cycle assessment of California almonds,International Journal of Life Cycle Assessment,10.1007/s11367-021-01891-4,"Yes, process-based environmental LCA on a defined functional unit",LCI data were obtained from ecoinvent v3.3 and Professional databases accessed via GaBi ts v6 (PE International 2019).,"Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.3; GaBi ,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",Refer to data availability statement,Gabi,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
33,Understanding variability in greenhouse gas emission estimates of smallholder dairy farms in Indonesia,International Journal of Life Cycle Assessment,10.1007/s11367-021-01923-z,"Yes, process-based environmental LCA on a defined functional unit","Emission factors from databases and information from literature were used to calculate GHGE from upstream activities. In case of purchased feeds, we used the LEAP database (FAO 2015) to estimate GHGE from cultivation of various feed crops (e.g. soybean, cassava, wheat, maize; see Table 1). In case of GHGE from rice straw, we also included CH4 emissions from rice fields (IPCC 2019). The emissions related to energy use to process and transport purchased feeds to the smallholder dairy farms were based on Ecoinvent Version 3 (Wernet et al. 2016). All assumptions to calculate emissions related to cultivation, transportation and processing of feed crops are provided in the supplementary material (Table S1). ","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3; various sources,"Direct presentation in the article (e.g., tables)","Yes, can access, download, and open the file. ",N/A,N/A,"No, no analysis script availability statement. ",NA,NA
34,Natural Fibre Polymer Composites - A game changer for the aviation sector?,Journal of Cleaner Production,10.1016/j.jclepro.2020.124986,"Yes, process-based environmental LCA on a defined functional unit","2.3. Life cycle inventory analysis  The life cycle inventory (LCI) data related to the inputs and outputs from the different life cycle stages of the panels (foreground data) were obtained directly from the SME producing the panel. When the needed LCI data could not be obtained from the company, data were collected from scientific literature. Background data (e.g. electricity production, raw materials, transport processes) were obtained from the LCI database Ecoinvent v3.4.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.4,"Direct presentation in the article (e.g., tables)",NA,The evaluation was carried out with SimaPro 8.5.2 software.,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
35,Sharing is caring - the importance of capital goods when assessing environmental impacts from private and shared laundry systems in Sweden,International Journal of Life Cycle Assessment,10.1007/s11367-021-01890-5,"Yes, process-based environmental LCA on a defined functional unit","The LCI data from the EuP-reports for the machines and cleaning products is illustrated in Table 2 and Table 3.   Table 2 Aggregated LCI-data for the washing machines and tumble dryers  ... Datasets used in this study include Ecoinvent 3.5 and GaBi Professional 2021, whereas the EuP uses Ecoinvent 1.2 and additional datasets found in SimaPro.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent v3.5; Gabi,NA,NA,"To fulfill the goal of the study, three attributional LCA models containing the three different systems (private laundry, shared laundry 1, and shared laundry 2) were created using the GaBi-software with datasets found in Ecoinvent 3.5 and GaBi Professional 2021. ",Gabi,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
