ISIC,uniq_RP,diff_act,CoV
0125:Growing of other tree and bush fruits and nuts,almond,3,0.955825636
0125:Growing of other tree and bush fruits and nuts,strawberry,7,1.002354352
0126:Growing of oleaginous fruits,olive,3,0.804404794
0126:Growing of oleaginous fruits,"coconut, dehusked",4,0.621052533
0126:Growing of oleaginous fruits,palm fruit bunch,4,1.055391718
0127:Growing of beverage crops,cocoa bean,4,0.752632832
0127:Growing of beverage crops,"coffee, green bean",10,0.597887597
"0128:Growing of spices, aromatic, drug and pharmaceutical crops",mint,3,0.409614378
0129:Growing of other perennial crops,alfalfa-grass silage,3,0.101717422
0130:Plant propagation,"eucalyptus seedling, for planting",4,0.249113847
0130:Plant propagation,"tree seedling, for planting",4,0.625186478
0130:Plant propagation,"strawberry seedling, for planting",5,0.054637379
0130:Plant propagation,"tomato seedling, for planting",6,0.080686027
0141:Raising of cattle and buffaloes,cow milk,3,0.155155308
0141:Raising of cattle and buffaloes,"operation, housing system, cattle, loose, per animal unit",3,0.533425651
0141:Raising of cattle and buffaloes,"operation, housing system, cattle, tied, per animal unit",3,0.509991661
0141:Raising of cattle and buffaloes,"weaned calves, live weight",7,0.380498453
0141:Raising of cattle and buffaloes,"weaned heifers, live weight",15,0.297173743
0141:Raising of cattle and buffaloes,"cattle for slaughtering, live weight",27,0.505406198
0144:Raising of sheep and goats,sheep fleece in the grease,4,0.762531954
0144:Raising of sheep and goats,"sheep for slaughtering, live weight",4,0.762531953
0145:Raising of swine/pigs,"operation, housing system, pig, fully-slatted floor, per pig place",3,0.767145797
0145:Raising of swine/pigs,"operation, housing system, pig, label-certified, per pig place",3,0.303734521
0161:Support activities for crop production,"fodder loading, by self-loading trailer",3,1.163071719
0161:Support activities for crop production,"harvesting, by complete harvester, ground crops",3,0.033729789
0161:Support activities for crop production,"haying, by rotary tedder",3,0.020600486
0161:Support activities for crop production,"liquid manure spreading, by vacuum tanker",3,0.62664519
0161:Support activities for crop production,phacelia silage,3,0.08536256
0161:Support activities for crop production,potato planting,3,0.065658884
0161:Support activities for crop production,"solid manure loading and spreading, by hydraulic loader and spreader",3,0.425726265
0161:Support activities for crop production,"swath, by rotary windrower",3,0.385665837
0161:Support activities for crop production,"tillage, cultivating, chiselling",3,0.183711026
0161:Support activities for crop production,"tillage, hoeing and earthing-up, potatoes",3,0.571801738
0161:Support activities for crop production,"tillage, rolling",3,0.012625402
0161:Support activities for crop production,"organo-mineral nitrogen fertiliser, as N",4,2
0161:Support activities for crop production,"organo-mineral phosphorus fertiliser, as P2O5",4,2
0161:Support activities for crop production,ryegrass silage,4,0.096108174
0161:Support activities for crop production,ryegrass-Egyptian&Persian clover-mixture silage,4,0.181102581
0161:Support activities for crop production,ryegrass-red&Egyptian clover-mixture silage,4,0.152590608
0161:Support activities for crop production,sunflower silage,4,0.054804305
0161:Support activities for crop production,"tillage, ploughing",4,0.069497684
0161:Support activities for crop production,"tillage, rotary cultivator",4,0.242554153
0161:Support activities for crop production,"application of plant protection product, by field sprayer",5,0.695098966
0161:Support activities for crop production,combine harvesting,5,0.371179402
0161:Support activities for crop production,"fertilising, by broadcaster",5,0.37105726
0161:Support activities for crop production,"organo-mineral potassium fertiliser, as K2O",5,2.235129496
0161:Support activities for crop production,"organic nitrogen fertiliser, as N",15,2.0632435
0161:Support activities for crop production,"organic potassium fertiliser, as K2O",15,2.391605081
0161:Support activities for crop production,"organic phosphorus fertiliser, as P2O5",16,2.069369195
0161:Support activities for crop production,"water pump operation, diesel",17,0.007195795
0161:Support activities for crop production,"inorganic phosphorus fertiliser, as P2O5",29,0.799783222
0161:Support activities for crop production,irrigation,49,0.683556595
0163:Post-harvest crop activities,bale loading,3,0.714190076
0163:Post-harvest crop activities,baling,3,0.262153718
0163:Post-harvest crop activities,cottonseed,3,0.549965449
0163:Post-harvest crop activities,drying of feed grain,3,1.388521997
0163:Post-harvest crop activities,drying of maize grain,3,0.735907425
0163:Post-harvest crop activities,"fibre, cotton",3,0.549965434
0163:Post-harvest crop activities,"operation, dried roughage store, air dried, solar",3,0.716601853
0163:Post-harvest crop activities,"operation, dried roughage store, cold-air dried, conventional",3,0.906981715
0163:Post-harvest crop activities,"operation, dried roughage store, non ventilated",3,0.207208595
0163:Post-harvest crop activities,potato grading,3,0.24121874
0163:Post-harvest crop activities,"mango, conditioned",4,0.203113471
0220:Logging,"bundle, energy wood, measured as dry mass",6,0.202365352
0220:Logging,cable yarding,6,0.675493944
0220:Logging,"pulpwood, hardwood, measured as solid wood under bark",7,0.211763903
0220:Logging,"sawlog and veneer log, hardwood, measured as solid wood under bark",8,0.735619356
0220:Logging,"sawlog and veneer log, softwood, measured as solid wood under bark",9,0.516929791
0311:Marine fishing,antifouling paint emissions,4,0
0311:Marine fishing,"landed anchovy, fresh",4,1.684346217
0311:Marine fishing,"demersal fish, fresh",6,0.875253537
0311:Marine fishing,"fish, marine",6,0.746120771
0311:Marine fishing,"landed hake, fresh",6,0.651549664
0510:Mining of hard coal,"hard coal, run-of-mine",4,1.204540203
0520:Mining of lignite,lignite,3,0.823866404
0610:Extraction of crude petroleum,petroleum,13,1.072651508
0620:Extraction of natural gas,"natural gas, liquefied",3,0.206573934
0710:Mining of iron ores,portafer,3,0.557452057
0721:Mining of uranium and thorium ores,"uranium, in yellowcake",3,0.086763464
0721:Mining of uranium and thorium ores,"uranium ore, as U",4,0.742672342
0729:Mining of other non-ferrous metal ores,barite,3,0.022369561
0729:Mining of other non-ferrous metal ores,europium oxide,3,0.597251399
0729:Mining of other non-ferrous metal ores,gadolinium oxide,3,0.008813558
0729:Mining of other non-ferrous metal ores,"ilmenite, 54% titanium dioxide",3,0.703374046
0729:Mining of other non-ferrous metal ores,magnesium sulfate,3,0.867973582
0729:Mining of other non-ferrous metal ores,neodymium oxide,3,0.370665654
0729:Mining of other non-ferrous metal ores,praseodymium oxide,3,0.177347828
0729:Mining of other non-ferrous metal ores,samarium oxide,3,0.037208564
0729:Mining of other non-ferrous metal ores,"stibnite ore, 70% stibnite",3,0.493584734
0729:Mining of other non-ferrous metal ores,yttrium oxide,3,0.06783904
0729:Mining of other non-ferrous metal ores,cerium oxide,4,0.161836611
0729:Mining of other non-ferrous metal ores,"gold, unrefined",4,0.474133207
0729:Mining of other non-ferrous metal ores,lanthanum oxide,4,0.317548952
0729:Mining of other non-ferrous metal ores,"zircon, 50% zirconium",4,0.308570087
0729:Mining of other non-ferrous metal ores,molybdenite,7,0.231388171
"0810:Quarrying of stone, sand and clay","lime, packed",3,0.709878334
"0810:Quarrying of stone, sand and clay","limestone, crushed, washed",3,0.268340839
"0810:Quarrying of stone, sand and clay",anhydrite rock,4,0.470222985
"0810:Quarrying of stone, sand and clay","limestone, crushed, for mill",4,0.456692973
"0810:Quarrying of stone, sand and clay","limestone, unprocessed",4,0.230753663
"0810:Quarrying of stone, sand and clay","gravel, crushed",5,0.378042159
0891:Mining of chemical and fertilizer minerals,"phosphate rock, beneficiated",4,0.380644932
09:Mining support service activities,"deep well, drilled, for geothermal power",21,0.395307785
"1020:Processing and preserving of fish, crustaceans and molluscs","fish oil, from anchovy",8,0.371521566
1040:Manufacture of vegetable and animal oils and fats,rape meal,3,0.133302722
1040:Manufacture of vegetable and animal oils and fats,"rape oil, crude",3,0.133302732
1040:Manufacture of vegetable and animal oils and fats,"vegetable oil, refined",3,0.509676497
1040:Manufacture of vegetable and animal oils and fats,soybean meal,6,0.656794899
1040:Manufacture of vegetable and animal oils and fats,"soybean oil, crude",6,0.656794896
1050:Manufacture of dairy products,"cheese, from cow milk, fresh, unripened",3,0.576934576
1311:Preparation and spinning of textile fibres,"fibre, jute",3,0.572330154
1311:Preparation and spinning of textile fibres,stalk,5,0.397249731
1312:Weaving of textiles,"textile, jute",3,0.216501638
1312:Weaving of textiles,"textile, woven cotton",4,0.143747829
1312:Weaving of textiles,"yarn, silk",4,1.137682238
1313:Finishing of textiles,"batch dyeing, fibre, cotton",3,0.723545951
1313:Finishing of textiles,"bleaching and dyeing, yarn",3,0.443026599
1313:Finishing of textiles,"bleaching, textile",3,1.320875679
1391:Manufacture of knitted and crocheted fabrics,"textile, knit cotton",3,0.120744284
1399:Manufacture of other textiles n.e.c.,"polar fleece production, energy use only",3,0.777355198
1610:Sawmilling and planing of wood,"sawnwood, hardwood, dried (u=10%), planed",3,0.197062479
1610:Sawmilling and planing of wood,"sawnwood, hardwood, dried (u=20%), planed",3,0.147379062
1610:Sawmilling and planing of wood,"sawnwood, hardwood, raw, dried (u=10%)",3,0.156889415
1610:Sawmilling and planing of wood,"sawnwood, hardwood, raw, dried (u=20%)",3,0.06471992
1610:Sawmilling and planing of wood,"sawnwood, paraná pine, dried (u=10%)",3,0.310801101
1610:Sawmilling and planing of wood,"sawnwood, softwood, dried (u=10%), planed",3,0.194458443
1610:Sawmilling and planing of wood,"sawnwood, softwood, dried (u=20%), planed",3,0.161098289
1610:Sawmilling and planing of wood,"sawnwood, softwood, raw, dried (u=10%)",3,0.143252937
1610:Sawmilling and planing of wood,"sawnwood, softwood, raw, dried (u=20%)",3,0.096560036
1610:Sawmilling and planing of wood,wood wool,3,0.405806306
1610:Sawmilling and planing of wood,"sawnwood, beam, hardwood, dried (u=10%), planed",4,0.312322731
1610:Sawmilling and planing of wood,"sawnwood, beam, hardwood, dried (u=20%), planed",4,0.264421859
1610:Sawmilling and planing of wood,"sawnwood, beam, hardwood, raw, dried (u=10%)",4,0.30376889
1610:Sawmilling and planing of wood,"sawnwood, beam, softwood, dried (u=10%), planed",4,0.225683998
1610:Sawmilling and planing of wood,"sawnwood, beam, softwood, dried (u=20%), planed",4,0.252733641
1610:Sawmilling and planing of wood,"sawnwood, beam, softwood, raw, dried (u=10%)",4,0.252821771
1610:Sawmilling and planing of wood,"sawnwood, board, hardwood, dried (u=10%), planed",4,0.32482619
1610:Sawmilling and planing of wood,"sawnwood, board, hardwood, dried (u=20%), planed",4,0.287821662
1610:Sawmilling and planing of wood,"sawnwood, board, hardwood, raw, dried (u=10%)",4,0.286227268
1610:Sawmilling and planing of wood,"sawnwood, board, softwood, dried (u=10%), planed",4,0.22550336
1610:Sawmilling and planing of wood,"sawnwood, board, softwood, dried (u=20%), planed",4,0.240402773
1610:Sawmilling and planing of wood,"sawnwood, board, softwood, raw, dried (u=10%)",4,0.269775697
1610:Sawmilling and planing of wood,"sawnwood, hardwood, raw",4,0.191370289
1610:Sawmilling and planing of wood,"sawnwood, lath, hardwood, dried (u=10%), planed",4,0.332106148
1610:Sawmilling and planing of wood,"sawnwood, lath, hardwood, dried (u=20%), planed",4,0.29589794
1610:Sawmilling and planing of wood,"sawnwood, lath, hardwood, raw, dried (u=10%)",4,0.286227268
1610:Sawmilling and planing of wood,"sawnwood, lath, softwood, dried (u=10%), planed",4,0.226266868
1610:Sawmilling and planing of wood,"sawnwood, lath, softwood, dried (u=20%), planed",4,0.239122135
1610:Sawmilling and planing of wood,"sawnwood, lath, softwood, raw, dried (u=10%)",4,0.269775697
1610:Sawmilling and planing of wood,"sawnwood, softwood, raw",4,0.379702627
1610:Sawmilling and planing of wood,"shavings, hardwood, measured as dry mass",4,0.230696429
1610:Sawmilling and planing of wood,"shavings, softwood, measured as dry mass",4,0.292970019
1610:Sawmilling and planing of wood,"slab and siding, hardwood, wet, measured as dry mass",4,0.191370289
1610:Sawmilling and planing of wood,"slab and siding, softwood, wet, measured as dry mass",4,0.379702647
1610:Sawmilling and planing of wood,bark,8,0.452371004
1610:Sawmilling and planing of wood,"sawdust, loose, wet, measured as dry mass",8,0.452371004
1610:Sawmilling and planing of wood,"sawnwood, beam, hardwood, raw, dried (u=20%)",8,0.251391797
1610:Sawmilling and planing of wood,"sawnwood, beam, softwood, raw, dried (u=20%)",8,0.31433806
1610:Sawmilling and planing of wood,"sawnwood, board, hardwood, raw, dried (u=20%)",8,0.236907401
1610:Sawmilling and planing of wood,"sawnwood, board, softwood, raw, dried (u=20%)",8,0.318429947
1610:Sawmilling and planing of wood,"sawnwood, lath, hardwood, raw, dried (u=20%)",8,0.236907401
1610:Sawmilling and planing of wood,"sawnwood, lath, softwood, raw, dried (u=20%)",8,0.318429947
1610:Sawmilling and planing of wood,"shavings, hardwood, loose, measured as dry mass",24,0.282446957
1621:Manufacture of veneer sheets and wood-based panels,oriented strand board,3,0.389622922
1621:Manufacture of veneer sheets and wood-based panels,plywood,3,0.364246439
1621:Manufacture of veneer sheets and wood-based panels,"fibreboard, soft",4,0.478162801
1621:Manufacture of veneer sheets and wood-based panels,"particleboard, uncoated",4,0.152986688
1622:Manufacture of builders' carpentry and joinery,"window frame, wood, U=1.5 W/m2K",3,0.152873272
"1701:Manufacture of pulp, paper and paperboard",core board,3,0.284706113
"1701:Manufacture of pulp, paper and paperboard","paper, woodcontaining, lightweight coated",3,0.369662395
"1701:Manufacture of pulp, paper and paperboard","paper, woodcontaining, supercalendered",3,0.426722897
"1701:Manufacture of pulp, paper and paperboard",solid bleached and unbleached board carton,3,0.506272499
"1701:Manufacture of pulp, paper and paperboard",tissue paper,3,0.511725317
"1701:Manufacture of pulp, paper and paperboard","paper, woodfree, coated",4,0.120215847
"1701:Manufacture of pulp, paper and paperboard","paper, newsprint",6,0.633783964
"1701:Manufacture of pulp, paper and paperboard","sulfate pulp, bleached",7,0.412925222
"1701:Manufacture of pulp, paper and paperboard","paper, woodfree, uncoated",8,0.243346186
1702:Manufacture of corrugated paper and paperboard and of containers of paper a,"carton board box production, with gravure printing",3,0.664552155
1702:Manufacture of corrugated paper and paperboard and of containers of paper a,"carton board box production, with offset printing",3,0.397848403
1702:Manufacture of corrugated paper and paperboard and of containers of paper a,corrugated board box,3,0.339469694
1702:Manufacture of corrugated paper and paperboard and of containers of paper a,"containerboard, fluting medium",5,0.352633974
1702:Manufacture of corrugated paper and paperboard and of containers of paper a,"containerboard, linerboard",6,0.208093738
1812:Service activities related to printing,"laminating service, foil, with acrylic binder",3,0.695441749
1920:Manufacture of refined petroleum products,"ethylene, average",3,1.25888721
1920:Manufacture of refined petroleum products,"petrol, two-stroke blend",3,0.041406027
1920:Manufacture of refined petroleum products,petroleum coke,3,0.000592515
1920:Manufacture of refined petroleum products,propylene,3,1.247627055
1920:Manufacture of refined petroleum products,"petrol, low-sulfur",4,0.078262789
1920:Manufacture of refined petroleum products,C3 hydrocarbon mixture,7,0.066797438
1920:Manufacture of refined petroleum products,base oil,7,0.024989323
1920:Manufacture of refined petroleum products,"hydrogen, gaseous",7,0.01163476
1920:Manufacture of refined petroleum products,petroleum slack wax,7,0.017838409
1920:Manufacture of refined petroleum products,reformate,7,0.008805522
1920:Manufacture of refined petroleum products,refinery gas,8,0.252211728
1920:Manufacture of refined petroleum products,naphtha,9,0.148160092
1920:Manufacture of refined petroleum products,white spirit,9,0.465996432
1920:Manufacture of refined petroleum products,diesel,13,0.09738234
1920:Manufacture of refined petroleum products,heavy fuel oil,13,1.122309753
1920:Manufacture of refined petroleum products,kerosene,14,0.095473244
1920:Manufacture of refined petroleum products,"petrol, unleaded",14,2.162803566
1920:Manufacture of refined petroleum products,"diesel, low-sulfur",15,1.689934778
1920:Manufacture of refined petroleum products,liquefied petroleum gas,15,1.216100827
19a: Liquid and gaseous fuels from biomass,"bagasse, from sugarcane",4,1.065709282
19a: Liquid and gaseous fuels from biomass,"sugar, from sugarcane",4,1.144249336
19a: Liquid and gaseous fuels from biomass,Distiller's Dried Grains with Solubles,6,0.454919435
19a: Liquid and gaseous fuels from biomass,vegetable oil methyl ester,11,0.876703431
19a: Liquid and gaseous fuels from biomass,"ethanol, without water, in 99.7% solution state, from fermentation",12,1.214793119
2011:Manufacture of basic chemicals,ammonium chloride,3,0.928254941
2011:Manufacture of basic chemicals,"argon, crude, liquid",3,0.92555247
2011:Manufacture of basic chemicals,carbon monoxide,3,0.909137874
2011:Manufacture of basic chemicals,cryolite,3,0.252394062
2011:Manufacture of basic chemicals,de-icer,3,0.460693933
2011:Manufacture of basic chemicals,"diethyl ether, without water, in 99.95% solution state",3,0.408798202
2011:Manufacture of basic chemicals,iron sulfate,3,0.564657647
2011:Manufacture of basic chemicals,"krypton, gaseous",3,0.924353091
2011:Manufacture of basic chemicals,"nitrogen, liquid",3,0.925552464
2011:Manufacture of basic chemicals,"oxygen, liquid",3,0.925552468
2011:Manufacture of basic chemicals,"silicon, multi-Si, casted",3,0.102552531
2011:Manufacture of basic chemicals,"sodium chlorate, powder",3,0.80819745
2011:Manufacture of basic chemicals,sodium formate,3,0.393798313
2011:Manufacture of basic chemicals,"sodium hypochlorite, without water, in 15% solution state",3,0.522586328
2011:Manufacture of basic chemicals,trichloropropane,3,0.156295035
2011:Manufacture of basic chemicals,"xenon, gaseous",3,0.924353067
2011:Manufacture of basic chemicals,acetic anhydride,4,0.114134206
2011:Manufacture of basic chemicals,citric acid,4,0.389286423
2011:Manufacture of basic chemicals,"compressed air, 1000 kPa gauge",4,0.479424544
2011:Manufacture of basic chemicals,"compressed air, 1200 kPa gauge",4,0.348417889
2011:Manufacture of basic chemicals,ethyl acetate,4,0.556168547
2011:Manufacture of basic chemicals,formaldehyde,4,0.181418572
2011:Manufacture of basic chemicals,hydrogen cyanide,4,0.443057057
2011:Manufacture of basic chemicals,isopropyl acetate,4,0.355621833
2011:Manufacture of basic chemicals,maleic anhydride,4,0.323547242
2011:Manufacture of basic chemicals,"neutralising agent, sodium hydroxide-equivalent",4,0.553108853
2011:Manufacture of basic chemicals,silicon tetrachloride,4,1.098487377
2011:Manufacture of basic chemicals,"silicon, solar grade",4,0.481401638
2011:Manufacture of basic chemicals,titanium dioxide,4,0.220129283
2011:Manufacture of basic chemicals,phenol,5,0.373320016
2011:Manufacture of basic chemicals,"acetic acid, without water, in 98% solution state",6,0.359915592
2011:Manufacture of basic chemicals,"compressed air, 600 kPa gauge",6,0.458764485
2011:Manufacture of basic chemicals,"compressed air, 700 kPa gauge",6,0.4592612
2011:Manufacture of basic chemicals,formic acid,6,0.843060765
2011:Manufacture of basic chemicals,"sodium hydroxide, without water, in 50% solution state",7,0.406333677
2011:Manufacture of basic chemicals,aluminium hydroxide,8,0.555876398
2011:Manufacture of basic chemicals,fatty alcohol,8,0.199913458
2011:Manufacture of basic chemicals,"uranium, enriched 3.0%, per separative work unit",8,0.907751565
2011:Manufacture of basic chemicals,"compressed air, 800 kPa gauge",10,0.608123268
2011:Manufacture of basic chemicals,"chlorine, gaseous",12,0.709952648
2011:Manufacture of basic chemicals,"water pump operation, electric",17,0.679141389
2011a: Manufacture of nuclear fuels,"nuclear fuel element, for boiling water reactor, UO2 4.0% & MOX",3,0.01060443
2011a: Manufacture of nuclear fuels,"uranium, enriched 4%, in fuel element for light water reactor",3,0.004709726
2011a: Manufacture of nuclear fuels,"uranium, enriched 3.9%, per separative work unit",7,1.01057012
2011a: Manufacture of nuclear fuels,"uranium, enriched 4.0%, per separative work unit",7,1.016793721
2011a: Manufacture of nuclear fuels,"uranium, enriched 4.2%, per separative work unit",7,1.023093177
2012:Manufacture of fertilizers and nitrogen compounds,"fluosilicic acid, without water, in 22% solution state",3,0.123359441
2012:Manufacture of fertilizers and nitrogen compounds,potassium chloride,3,0.495142362
2012:Manufacture of fertilizers and nitrogen compounds,NPK (15-15-15) fertiliser,4,0.287459103
2012:Manufacture of fertilizers and nitrogen compounds,NPK (26-15-15) fertiliser,4,0.324628127
2012:Manufacture of fertilizers and nitrogen compounds,ammonium nitrate phosphate,4,0.318979856
2012:Manufacture of fertilizers and nitrogen compounds,calcium ammonium nitrate,4,0.377838689
2012:Manufacture of fertilizers and nitrogen compounds,diammonium phosphate,4,0.177308274
2012:Manufacture of fertilizers and nitrogen compounds,monoammonium phosphate,4,0.206905154
2012:Manufacture of fertilizers and nitrogen compounds,"phosphoric acid, fertiliser grade, without water, in 70% solution state",4,0.105231206
2012:Manufacture of fertilizers and nitrogen compounds,potassium nitrate,4,0.260251256
2012:Manufacture of fertilizers and nitrogen compounds,urea,4,0.40445126
2012:Manufacture of fertilizers and nitrogen compounds,urea ammonium nitrate mix,4,0.370741259
2012:Manufacture of fertilizers and nitrogen compounds,ammonium nitrate,6,0.386697484
2012:Manufacture of fertilizers and nitrogen compounds,"carbon dioxide, in chemical industry",6,0
2012:Manufacture of fertilizers and nitrogen compounds,"nitric acid, without water, in 50% solution state",10,0.270165328
2013:Manufacture of plastics and synthetic rubber in primary forms,purified terephthalic acid,3,0.08255822
2013:Manufacture of plastics and synthetic rubber in primary forms,"polyester resin, unsaturated",4,0.197109227
2013:Manufacture of plastics and synthetic rubber in primary forms,"polystyrene, extruded",8,0.811231427
"2023:Manufacture of soap and detergents, cleaning and polishing preparations, pe","alkylbenzene, linear",3,0.060910283
"2023:Manufacture of soap and detergents, cleaning and polishing preparations, pe",esterquat,4,0.457446392
"2023:Manufacture of soap and detergents, cleaning and polishing preparations, pe",ethoxylated alcohol (AE3),6,0.142373465
"2023:Manufacture of soap and detergents, cleaning and polishing preparations, pe",ethoxylated alcohol (AE7),6,0.143470151
"2023:Manufacture of soap and detergents, cleaning and polishing preparations, pe",fatty alcohol sulfate,8,0.164004218
2029:Manufacture of other chemical products n.e.c.,"activated carbon, granular",4,0.924235937
2220:Manufacture of plastics products,blow moulding,3,0.714162865
2220:Manufacture of plastics products,"extrusion, plastic film",3,0.589271196
2220:Manufacture of plastics products,"extrusion, plastic pipes",3,0.687600883
2220:Manufacture of plastics products,injection moulding,3,0.480631614
2220:Manufacture of plastics products,polymer foaming,3,0.665930251
2220:Manufacture of plastics products,stretch blow moulding,3,0.866790713
2220:Manufacture of plastics products,"container, for collection of post-consumer waste plastic for recycling",4,0.206983466
2220:Manufacture of plastics products,polystyrene foam slab,6,0.713118979
2310:Manufacture of glass and glass products,"packaging glass, brown",5,0.298954328
2310:Manufacture of glass and glass products,"packaging glass, green",5,0.4132945
2310:Manufacture of glass and glass products,"packaging glass, white",5,0.337917243
2391:Manufacture of refractory products,"refractory material, acid",3,0.701508297
2392:Manufacture of clay building materials,clay plaster,3,0.292560568
"2394:Manufacture of cement, lime and plaster","cement, blast furnace slag 18-30% and 18-30% other alternative constituents",3,0.099385525
"2394:Manufacture of cement, lime and plaster","cement, blast furnace slag 31-50% and 31-50% other alternative constituents",3,0.114424191
"2394:Manufacture of cement, lime and plaster","cement, blast furnace slag 81-95%",3,0.261948035
"2394:Manufacture of cement, lime and plaster","cement, blast furnace slag, 66-80%",3,0.179448124
"2394:Manufacture of cement, lime and plaster","cement, limestone 21-35%",3,0.15509822
"2394:Manufacture of cement, lime and plaster","cement, pozzolana and fly ash 11-35%",3,0.077447849
"2394:Manufacture of cement, lime and plaster","lime, hydrated, loose weight",3,0.367390999
"2394:Manufacture of cement, lime and plaster",plaster mixing,3,1.33558048
"2394:Manufacture of cement, lime and plaster","quicklime, in pieces, loose",3,0.370015157
"2394:Manufacture of cement, lime and plaster",cement mortar,4,0.098681604
"2394:Manufacture of cement, lime and plaster","cement, alternative constituents 21-35%",4,0.05961854
"2394:Manufacture of cement, lime and plaster","cement, alternative constituents 6-20%",4,0.087281587
"2394:Manufacture of cement, lime and plaster","cement, blast furnace slag 36-65%",4,0.151969714
"2394:Manufacture of cement, lime and plaster","cement, pozzolana and fly ash 36-55%",4,0.135608692
"2394:Manufacture of cement, lime and plaster","cement, Portland",9,0.075458549
"2394:Manufacture of cement, lime and plaster","cement, unspecified",11,0.110363761
"2395:Manufacture of articles of concrete, cement and plaster",autoclaved aerated concrete block,3,0.146984273
"2395:Manufacture of articles of concrete, cement and plaster",concrete block,3,0.355243151
"2395:Manufacture of articles of concrete, cement and plaster","concrete, 30-32MPa",3,0.049027658
"2395:Manufacture of articles of concrete, cement and plaster","concrete, for de-icing salt contact",3,0.091481106
"2395:Manufacture of articles of concrete, cement and plaster","concrete, sole plate and foundation",3,0.093907029
"2395:Manufacture of articles of concrete, cement and plaster","concrete, 50MPa",4,0.131510162
"2395:Manufacture of articles of concrete, cement and plaster",lean concrete,4,0.165246185
"2395:Manufacture of articles of concrete, cement and plaster","concrete, medium strength",6,0.117235469
"2395:Manufacture of articles of concrete, cement and plaster","concrete, 30MPa",8,0.19962142
"2395:Manufacture of articles of concrete, cement and plaster","concrete, normal",9,0.334032067
"2395:Manufacture of articles of concrete, cement and plaster","concrete, 25MPa",10,0.164614006
"2395:Manufacture of articles of concrete, cement and plaster","concrete, 35MPa",10,0.168179114
"2395:Manufacture of articles of concrete, cement and plaster","concrete, 40MPa",16,0.184340443
"2395:Manufacture of articles of concrete, cement and plaster","concrete, 20MPa",20,0.211059172
2399:Manufacture of other non-metallic mineral products n.e.c.,"bitumen seal, V60",3,0.305448717
2399:Manufacture of other non-metallic mineral products n.e.c.,"bitumen seal, polymer EP4 flame retardant",3,0.2251241
2399:Manufacture of other non-metallic mineral products n.e.c.,glass wool mat,4,0.520459983
239:Manufacture of non-metallic mineral products n.e.c.,ground granulated blast furnace slag,4,0.590600463
2410:Manufacture of basic iron and steel,"hot rolling, steel",3,0.465099914
2410:Manufacture of basic iron and steel,iron pellet,3,0.810935713
2410:Manufacture of basic iron and steel,iron sinter,3,0.094202858
2410:Manufacture of basic iron and steel,reinforcing steel,3,0.588118103
2410:Manufacture of basic iron and steel,"steel, low-alloyed",9,0.701342189
